Nome de uma definição de BAdI;Ponto de ampliação;Descrição;
/ACCGO/CAS_BADI_APPL_SAVE;/ACCGO/CMN_ES_CAS_APPL_PROCESS;;
/ACCGO/CAS_BADI_APPL_TRACK_CHG;/ACCGO/CMN_ES_CAS_APPL_DOC;BADI para rastrear modificações no documento de aplicação;
/ACCGO/CAS_BADI_ASSIGN_STOA;/ACCGO/CAS_ES_STORAGE;BAdI para processar campos personalizados da atribuição de a;
/ACCGO/CAS_BADI_CALC_AVG;/ACCGO/CMN_ES_CAS_APPL_PROCESS;;
/ACCGO/CAS_BADI_CALLOFF_BL;/ACCGO/CMN_ES_CAS_CALL_OFF;;
/ACCGO/CAS_BADI_CALLOFF_UI;/ACCGO/CMN_ES_CAS_CALL_OFF;;
/ACCGO/CAS_BADI_CCK_APPROVAL;/ACCGO/CAS_ES_CCK_APPROVAL;BAdI para aprovação CCAK;
/ACCGO/CAS_BADI_CHANGE_LOADOUT;/ACCGO/CAS_ES_STORAGE;BAdI para alteração de documentos de solicitação de descarre;
/ACCGO/CAS_BADI_CHANGE_WHR;/ACCGO/CAS_ES_WAREHOUSE;BAdI para modificação de entradas de mercadorias;
/ACCGO/CAS_BADI_CHG_APPL_STAT;/ACCGO/CMN_ES_CAS_APPL_PROCESS;BAdI para modificar o status do documento de aplicação em ce;
/ACCGO/CAS_BADI_COMINGLE;/ACCGO/CMN_ES_CAS_APPL_DOC;;
/ACCGO/CAS_BADI_CONSUME_AMT;/ACCGO/CAS_ES_PPMT_AMT;BAdI: consumir montante principal e de juros de pagamento pr;
/ACCGO/CAS_BADI_CSDP;/ACCGO/CAS_ES_CSDP;BAdI para CSDP;
/ACCGO/CAS_BADI_DCM;/ACCGO/CMN_ES_CAS_APPL_DOC;;
/ACCGO/CAS_BADI_DPQS_CALC_AMDP;/ACCGO/CAS_ES_DPQS_CALC_AMDP;Definição de BAdI para calcular PQPD;
/ACCGO/CAS_BADI_MOQ_LIST;/ACCGO/CMN_ES_CAS_APPL_PROCESS;;
/ACCGO/CAS_BADI_NS_STL_CANC;/ACCGO/CAS_ES_NS_STL_CANC;;
/ACCGO/CAS_BADI_NS_STL_CANCEL;/ACCGO/CAS_ES_NS_STL_CANCEL;;
/ACCGO/CAS_BADI_PC_STL;/ACCGO/CAS_ES_PC_STL;BAdI para validação do centro de lucro;
/ACCGO/CAS_BADI_PPMT_REQ;/ACCGO/CAS_ES_PPMT;BAdI para solicitação pagamento antecipado;
/ACCGO/CAS_BADI_PTC_VLDN;/ACCGO/CMN_ES_CAS_APPL_PROCESS;;
/ACCGO/CAS_BADI_QREP_READ_DATA;/ACCGO/CMN_ES_CAS_APPL_PROCESS;;
/ACCGO/CAS_BADI_RETURN_PROCESS;/ACCGO/CMN_ES_CAS_APPL_PROCESS;;
/ACCGO/CAS_BADI_SETTLEMENT;/ACCGO/CMN_ES_CAS_STL_DOC;BAdI para liquidação;
/ACCGO/CAS_BADI_SI_INVOICE;/ACCGO/CAS_ES_SI_INVOICE;BAdI para fatura FS;
/ACCGO/CAS_BADI_SPLIT_BY;/ACCGO/CAS_ES_SPLIT_BY;BAdI: definir Partição por no caso de partição de fornecedor;
/ACCGO/CAS_BADI_SPLIT_MWC;/ACCGO/CMN_ES_CAS_APPL_DOC;Definição de BAdI: cenário de divisão de solicitação MWC;
/ACCGO/CAS_BADI_STL_BR_EVTREG;/ACCGO/CAS_ES_BR_REVREC;Definição de BAdI para registro de evento;
